"S.No","District","Hospital","Type"
  1,"Ariyalur          ","Govt. Medical College Hospital, Ariyalur                           ","Cat. I - Dedicated COVID Hospitals / DCH"
  2,"Ariyalur          ","A.S Hospital                                                       ","Cat. I - Dedicated COVID Hospitals / DCH"
  3,"Chengalpattu      ","Govt. Medical College Hospital at Chengalpattu                     ","Cat. I - Dedicated COVID Hospitals / DCH"
  4,"Chengalpattu      ","Govt. T.B. Hospital, Tambaram                                      ","Cat. I - Dedicated COVID Hospitals / DCH"
  5,"Chengalpattu      ","Govt. Hospital Tambaram at Chrompet                                ","Cat. I - Dedicated COVID Hospitals / DCH"
  6,"Chengalpattu      ","Shri Sathya Sai Medical College And Research Institute.            ","Cat. I - Dedicated COVID Hospitals / DCH"
  7,"Chengalpattu      ","Sree Balaji Medical College & Hospital, Chromepet, Chennai-44      ","Cat. I - Dedicated COVID Hospitals / DCH"
  8,"Chengalpattu      ","SRM Medical College Hospital &Research Centre                      ","Cat. I - Dedicated COVID Hospitals / DCH"
  9,"Chengalpattu      ","Karpaga Vinayaga Institute Of Medical Sciences & Research Centre   ","Cat. I - Dedicated COVID Hospitals / DCH"
 10,"Chengalpattu      ","Bharath Medical College                                            ","Cat. I - Dedicated COVID Hospitals / DCH"
 11,"Chengalpattu      ","Rela Hospital                                                      ","Cat. I - Dedicated COVID Hospitals / DCH"
 12,"Chennai           ","Govt. Medical College Hospital, Omandurar Govt. Estate, Chennai    ","Cat. I - Dedicated COVID Hospitals / DCH"
 13,"Chennai           ","Rajiv Gandhi Govt. General Hospital, Chennai                       ","Cat. I - Dedicated COVID Hospitals / DCH"
 14,"Chennai           ","Govt. Stanley Hospital, Chennai                                    ","Cat. I - Dedicated COVID Hospitals / DCH"
 15,"Chennai           ","Kilpauk Medical College Hospital, Chennai                          ","Cat. I - Dedicated COVID Hospitals / DCH"
 16,"Chennai           ","Govt. RSRM Hospital, Chennai                                       ","Cat. I - Dedicated COVID Hospitals / DCH"
 17,"Chennai           ","Institute of Child Health, Chennai                                 ","Cat. I - Dedicated COVID Hospitals / DCH"
 18,"Chennai           ","Institute of Obsterics and Gynaecoloy, Chennai                     ","Cat. I - Dedicated COVID Hospitals / DCH"
 19,"Chennai           ","Govt. Royapettah Hospital, Chennai                                 ","Cat. I - Dedicated COVID Hospitals / DCH"
 20,"Chennai           ","Kasturba Gandhi Govt. Hospital, Chennai                            ","Cat. I - Dedicated COVID Hospitals / DCH"
 21,"Chennai           ","ESI K.K.Nagar                                                      ","Cat. I - Dedicated COVID Hospitals / DCH"
 22,"Chennai           ","ESI Ayanavaram                                                     ","Cat. I - Dedicated COVID Hospitals / DCH"
 23,"Chennai           ","National Centre Of Ageing King Institute                           ","Cat. I - Dedicated COVID Hospitals / DCH"
 24,"Chennai           ","Billroth Hospitals Shenoy Nagar, Chennai Tn.                       ","Cat. I - Dedicated COVID Hospitals / DCH"
 25,"Chennai           ","Kanchi Kamakoti Child Trust Hospital ,Chennai Tn.                  ","Cat. I - Dedicated COVID Hospitals / DCH"
 26,"Chennai           ","Dr Kamakshi Memorial Hospital,Kancheepuram Tn.                     ","Cat. I - Dedicated COVID Hospitals / DCH"
