"S.No","District","Hospital","Type"
  1,"Ariyalur               ","Jayamkondan_SDH                                     ","Cat. II - Dedicated COVID Health Center / DCHC"
  2,"Ariyalur               ","Golden Hospital                                     ","Cat. II - Dedicated COVID Health Center / DCHC"
  3,"Chennai                ","CSI Kalyani General Hospital, Chennai Tn.           ","Cat. II - Dedicated COVID Health Center / DCHC"
  4,"Chennai                ","GEM Hospital And Research Ctr Pvt.Ltd,Chennai Tn.   ","Cat. II - Dedicated COVID Health Center / DCHC"
  5,"Chennai                ","Kavery Hospital                                     ","Cat. II - Dedicated COVID Health Center / DCHC"
  6,"Chennai                ","Prashanth Hospital Velachery Chennai Tn.            ","Cat. II - Dedicated COVID Health Center / DCHC"
  7,"Coimbatore             ","Mettupalayam_SDH                                    ","Cat. II - Dedicated COVID Health Center / DCHC"
  8,"Coimbatore             ","G. Kuppusamy Naidu Hospital                         ","Cat. II - Dedicated COVID Health Center / DCHC"
  9,"Cuddalore              ","Subha Anandham Medical Centre,Cuddalore,Tn.         ","Cat. II - Dedicated COVID Health Center / DCHC"
 10,"Dharmapuri             ","Harur _SDH                                          ","Cat. II - Dedicated COVID Health Center / DCHC"
 11,"Dharmapuri             ","Supa Hospital, Pvt.Ltd, Dharmapuri Tn.              ","Cat. II - Dedicated COVID Health Center / DCHC"
 12,"Dharmapuri             ","Om Sakthi Hospital,Dharmapuri Tn.                   ","Cat. II - Dedicated COVID Health Center / DCHC"
 13,"Dharmapuri             ","DNV Polyclinic,Dharmapuri Tn.                       ","Cat. II - Dedicated COVID Health Center / DCHC"
 14,"Dindigul               ","Kodaikanal_SDH                                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 15,"Kallakurichi           ","Ulundurpet_SDH                                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 16,"Kallakurichi           ","Tirukoilur_SDH                                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 17,"Kancheepuram           ","Sriperumputhur_SDH                                  ","Cat. II - Dedicated COVID Health Center / DCHC"
 18,"Kancheepuram           ","Walajabad_SDH                                       ","Cat. II - Dedicated COVID Health Center / DCHC"
 19,"Kancheepuram           ","Uthiramerur_SDH                                     ","Cat. II - Dedicated COVID Health Center / DCHC"
 20,"Kanyakumari            ","Holy Cross Hospital, Kanyakumari Tn.                ","Cat. II - Dedicated COVID Health Center / DCHC"
 21,"Karur                  ","Apollo Logo Hospital,Karur Tn.                      ","Cat. II - Dedicated COVID Health Center / DCHC"
 22,"Karur                  ","Amaravathi Hospital,Karur Tn.                       ","Cat. II - Dedicated COVID Health Center / DCHC"
 23,"Krishnagiri            ","Kauvery Hospital, Hosur,Krishnagiri Tn.             ","Cat. II - Dedicated COVID Health Center / DCHC"
 24,"Krishnagiri            ","Chandrasekara Hospital, Hosur, Krishnagiri Tn.      ","Cat. II - Dedicated COVID Health Center / DCHC"
 25,"Madurai                ","Tirumangalam_SDH                                    ","Cat. II - Dedicated COVID Health Center / DCHC"
 26,"Madurai                ","Melur _SDH                                          ","Cat. II - Dedicated COVID Health Center / DCHC"
 27,"Madurai                ","Devadoss Multispeciality Hospital.                  ","Cat. II - Dedicated COVID Health Center / DCHC"
 28,"Madurai                ","Lakshmana Multispeciality Hospital.                 ","Cat. II - Dedicated COVID Health Center / DCHC"
 29,"Madurai                ","Rahavendhar Hospital.                               ","Cat. II - Dedicated COVID Health Center / DCHC"
 30,"Madurai                ","Saravana Hospital.                                  ","Cat. II - Dedicated COVID Health Center / DCHC"
 31,"Nagapattinam           ","Arun Priya Nursing Home, Nagapattinam Tn.           ","Cat. II - Dedicated COVID Health Center / DCHC"
 32,"Nagapattinam           ","Ram Bone And Joint Hospial,Nagapattinam Tn.         ","Cat. II - Dedicated COVID Health Center / DCHC"
 33,"Nagapattinam           ","Shanthi Nursing Home, Nagapattinam                  ","Cat. II - Dedicated COVID Health Center / DCHC"
 34,"Nagapattinam           ","Vishnu Hospital , Nagappattinam Tn.                 ","Cat. II - Dedicated COVID Health Center / DCHC"
 35,"Namakkal               ","Tiruchengode_SDH                                    ","Cat. II - Dedicated COVID Health Center / DCHC"
